provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
RIAU,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,185998,2888564,868308,19144
RIAU,NONMAKANAN,PERKOTAAN,2022,MARET,191327,2938564,887487,18626
RIAU,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,200815,2938564,887487,18626
RIAU,NONMAKANAN,PERDESAAN,2021,MARET,136989,2888564,538482,19144
RIAU,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,140947,2888564,538482,19144
RIAU,NONMAKANAN,PERDESAAN,2022,MARET,146319,2938564,564974,18626
RIAU,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,154999,2938564,564974,18626
JAMBI,MAKANAN,PERKOTAAN,2015,MARET,297507,1710000,464204,12954
JAMBI,MAKANAN,PERKOTAAN,2015,SEPTEMBER,308379,1710000,464204,12954
JAMBI,MAKANAN,PERKOTAAN,2016,MARET,319954,1906650,523615,13169
JAMBI,MAKANAN,PERKOTAAN,2016,SEPTEMBER,328157,1906650,523615,13169
JAMBI,MAKANAN,PERDESAAN,2015,MARET,247652,1710000,412871,12954
JAMBI,MAKANAN,PERDESAAN,2015,SEPTEMBER,258946,1710000,412871,12954
JAMBI,MAKANAN,PERDESAAN,2016,MARET,270888,1906650,437980,13169
JAMBI,MAKANAN,PERDESAAN,2016,SEPTEMBER,277173,1906650,437980,13169
JAMBI,MAKANAN,PERKOTAAN,2017,MARET,336354,2063000,611922,14326
JAMBI,MAKANAN,PERKOTAAN,2017,SEPTEMBER,341605,2063000,611922,14326
JAMBI,MAKANAN,PERKOTAAN,2018,MARET,358637,2243719,625663,14007
JAMBI,MAKANAN,PERKOTAAN,2018,SEPTEMBER,363152,2243719,625663,14007
JAMBI,MAKANAN,PERDESAAN,2017,MARET,287877,2063000,504542,14326
JAMBI,MAKANAN,PERDESAAN,2017,SEPTEMBER,291651,2063000,504542,14326
JAMBI,MAKANAN,PERDESAAN,2018,MARET,312113,2243719,523147,14007
JAMBI,MAKANAN,PERDESAAN,2018,SEPTEMBER,314945,2243719,523147,14007
JAMBI,MAKANAN,PERKOTAAN,2019,MARET,379659,2423889,632452,14304
JAMBI,MAKANAN,PERKOTAAN,2019,SEPTEMBER,389321,2423889,632452,14304
JAMBI,MAKANAN,PERKOTAAN,2020,MARET,409968,2630162,640957,15840
JAMBI,MAKANAN,PERKOTAAN,2020,SEPTEMBER,412391,2630162,640957,15840
JAMBI,MAKANAN,PERDESAAN,2019,MARET,327181,2423889,525933,14304
JAMBI,MAKANAN,PERDESAAN,2019,SEPTEMBER,341445,2423889,525933,14304
JAMBI,MAKANAN,PERDESAAN,2020,MARET,349384,2630162,565807,15840
